registry_version,snapshot_date,symbol,name,exchange,listing_date,tracked_index,index_family,direction,proxy_symbol,proxy_path,proxy_type,proxy_available_date,proxy_source_url,active,product_type,source_as_of,source_url
annual-etf-registry-20260817-v1,2026-08-17,513500,博时标普500ETF,SH,2013-12-05,标普500指数,sp500,us_sp500,,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
annual-etf-registry-20260817-v1,2026-08-17,159655,华夏标普500ETF,SZ,2022-10-25,标普500指数,sp500,us_sp500,513500,,,,,true,ETF,2026-08-17,https://www.szse.cn/market/product/list/etfList/index.html
annual-etf-registry-20260817-v1,2026-08-17,513100,国泰纳斯达克100ETF,SH,2013-05-15,纳斯达克100指数,nasdaq100,us_nasdaq,,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
annual-etf-registry-20260817-v1,2026-08-17,159941,广发纳斯达克100ETF,SZ,2015-07-13,纳斯达克100指数,nasdaq100,us_nasdaq,513100,,,,,true,ETF,2026-08-17,https://www.szse.cn/market/product/list/etfList/index.html
annual-etf-registry-20260817-v1,2026-08-17,159501,嘉实纳斯达克100ETF,SZ,2023-06-14,纳斯达克100指数,nasdaq100,us_nasdaq,513100,,,,,true,ETF,2026-08-17,https://www.szse.cn/market/product/list/etfList/index.html
annual-etf-registry-20260817-v1,2026-08-17,510050,华夏上证50ETF,SH,2005-02-23,上证50指数,sse50,a_large,,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
annual-etf-registry-20260817-v1,2026-08-17,510300,华泰柏瑞沪深300ETF,SH,2012-05-28,沪深300指数,csi300,a_large,,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
annual-etf-registry-20260817-v1,2026-08-17,159919,嘉实沪深300ETF,SZ,2012-05-28,沪深300指数,csi300,a_large,,,,,,true,ETF,2026-08-17,https://www.szse.cn/market/product/list/etfList/index.html
annual-etf-registry-20260817-v1,2026-08-17,159338,国泰中证A500ETF,SZ,2024-09-26,中证A500指数,csi_a500,a_large,,,,,,true,ETF,2026-08-17,https://www.szse.cn/market/product/list/etfList/index.html
annual-etf-registry-20260817-v1,2026-08-17,510500,南方中证500ETF,SH,2013-03-15,中证500指数,csi500,a_mid_small,,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
annual-etf-registry-20260817-v1,2026-08-17,512500,华夏中证500ETF,SH,2015-06-12,中证500指数,csi500,a_mid_small,510500,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
annual-etf-registry-20260817-v1,2026-08-17,512100,南方中证1000ETF,SH,2016-11-04,中证1000指数,csi1000,a_mid_small,,,,,,true,ETF,2026-08-17,https://www.sse.com.cn/assortment/fund/list/etf/
